T,B,H,W,BlockSize,AvgOverallSparsity,AvgZeroBlockRatio
8,32,224,224,16,99.1706%,98.6851%
8,32,224,224,32,99.1706%,98.3806%
8,64,224,224,16,99.1706%,98.6849%
8,64,224,224,32,99.1706%,98.3799%
16,32,224,224,16,99.0805%,98.2010%
16,32,224,224,32,99.0805%,97.7911%
16,64,224,224,16,99.0805%,98.2012%
16,64,224,224,32,99.0805%,97.7914%
32,32,224,224,16,99.0597%,97.8985%
32,32,224,224,32,99.0597%,97.4547%
32,64,224,224,16,99.0597%,97.8985%
32,64,224,224,32,99.0597%,97.4548%
64,32,224,224,16,99.0359%,97.6930%
64,32,224,224,32,99.0359%,97.2475%
